8476,You Can Smell Hillary’s Fear,1
10294,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),1
3608,Kerry to go to Paris in gesture of sympathy,0
10142,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',1
875,The Battle of New York: Why This Primary Matters,0
6903,"Tehran, USA",1
7341,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,1
95,‘Britain’s Schindler’ Dies at 106,0
4869,Fact check: Trump and Clinton at the 'commander-in-chief' forum,0
2909,Iran reportedly makes new push for uranium concessions in nuclear talks,0
1357,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0
988,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,0
7041,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",1
7623,10 Ways America Is Preparing for World War 3,1
1571,"Trump takes on Cruz, but lightly",0
4739,How women lead differently,0
7737,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,1
8716,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,1
3304,What's in that Iran bill that Obama doesn't like?,0
3078,The 1 chart that explains everything you need to know about partisanship in America,0
2517,The slippery slope to Trump’s proposed ban on Muslims,0
10348,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,1
778,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,0
3300,New Senate majority leader’s main goal for GOP: Don’t be scary,0
6155,‘Inferno’ and the Overpopulation Myth,1
636,Anti-Trump forces seek last-ditch delegate revolt,0
755,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,0
626,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,0
691,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),0
5743,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",1
1787,GOP insiders: Carly crushed it,0
7808,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],1
6484,Why It’s Necessary To Relax Into A Stretch,1
7385,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",1
9016,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",1
9324,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,1
8983,First Ever Hindu Woman Elected into Congress,1
8965,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,1
5580,Ex-Assistant FBI Director: Clintons Are a Crime Family,1
9757,Hillary Wants Aggressively Interventionist Foreign Policy,1
1967,Both parties want to craft populist messages for 2016,0
431,First Take: Wall Street bids goodbye to June hike,0
5955,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,1
7455,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,1
5224,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",0
7793,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,1
2777,Obama makes the right call to tough it out in Afghanistan,0
587,Senate race rankings: Dems attack as GOP lays swing-state groundwork,0
9403,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,1
5931,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,1
3027,American politics has reached peak polarization,0
4377,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),0
5937,"3 Effects of Substance Abuse on Individual, Family and Community",1
7277,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,1
5521,New Comment Features have been Added,1
3627,World's newspapers react to 'Hebdo' attack,0
9360,Ying and Yang (the Gold and Silver Set-Up),1
909,"Closed primaries, 'warped' democracy?",0
6646,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,1
